name,url,depth,error_msg
EmilyMarieBrewer,https://www.brewerforva.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
NBaxterEnnis,https://baxterennis.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
ThomasATomGarrettJr,https://www.tomfordelegate.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
JamesWWillMorefield,http://www.willmorefield.com,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: www.willmorefield.com.>
LauraJaneHCohen,https://laurajanecohen.com,0,Connection was refused by other side: ConnectionRefusedError
JuanPabloSegura,https://jpsva.com,0,Connection was refused by other side: ConnectionRefusedError
