name,url,depth,error_msg
NBaxterEnnis,https://baxterennis.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
ThomasATomGarrettJr,https://www.tomfordelegate.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
IsraelDO'Quinn,https://israeloquinn.com,0,<twisted.python.failure.Failure twisted.web._newclient.ResponseNeverReceived: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]>
BarryDKnight,https://www.barryknight.com,0,"<twisted.python.failure.Failure twisted.web._newclient.ResponseNeverReceived: [<twisted.python.failure.Failure OpenSSL.SSL.Error: [('SSL routines', '', 'tlsv1 alert internal error')]>]>"
MikeLVanMeter,https://vanmeterforva.com,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: vanmeterforva.com.>
EmilyMarieBrewer,https://www.brewerforva.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
ScottASurovell,https://www.scottsurovell.com,0,<twisted.python.failure.Failure twisted.web._newclient.ResponseNeverReceived: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]>
JamesWWillMorefield,https://http:,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: http.>
MajorMikeWebb,https://www.MajorMikeWebb.org,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: www.majormikewebb.org.>
SharonEAshurst,https://sharon4vahd20.com,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: sharon4vahd20.com.>
PaulKLott,https://paullottfordelegate.com,0,Connection was refused by other side: ConnectionRefusedError
MKeithHodges,https://keithhodges98.com,0,Connection was refused by other side: ConnectionRefusedError
JuanPabloSegura,https://jpsva.com,0,Connection was refused by other side: ConnectionRefusedError
LauraJaneHCohen,https://laurajanecohen.com,0,Connection was refused by other side: ConnectionRefusedError
JessicaLAnderson,https://jessicaandersonforvirginia.com,0,Connection was refused by other side: ConnectionRefusedError
TonyOWilt,https://www.wiltfordelegate.com,0,Connection was refused by other side: ConnectionRefusedError
