name,url,depth,error_msg
NhanCHuynh,https://,0,<twisted.python.failure.Failure idna.core.IDNAError: Empty domain>
JamesAThomasJr,https://www.thomasforvirginia.com/홈,1,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
ElizabethGMelson,https://melsonforvirginia.com/Your URhttps:/www.instagram.com/melson_for_virginia/L,1,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
ChristieNewCraig,http://www.ChristieNewCraig.co...,2,<twisted.python.failure.Failure builtins.ValueError: invalid hostname: www.christienewcraig.co...>
RussetWPerry,https://russetperry.com,0,<twisted.python.failure.Failure twisted.web._newclient.ResponseNeverReceived: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]>
