name,url,depth,error_msg
LillianVFranklin,https://,0,<twisted.python.failure.Failure idna.core.IDNAError: Empty domain>
NBaxterEnnis,https://baxterennis.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
ThomasATomGarrettJr,https://www.tomfordelegate.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
EmilyMarieBrewer,https://www.brewerforva.com,0,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>
MajorMikeWebb,https://www.MajorMikeWebb.org,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: www.majormikewebb.org.>
JamesWWillMorefield,http://www.willmorefield.com,0,<twisted.python.failure.Failure twisted.internet.error.DNSLookupError: DNS lookup failed: no results for hostname lookup: www.willmorefield.com.>
ScottASurovell,https://www.scottsurovell.com,0,Connection was refused by other side: ConnectionRefusedError
JuanPabloSegura,https://jpsva.com,0,Connection was refused by other side: ConnectionRefusedError
TonyOWilt,https://www.wiltfordelegate.com,0,Connection was refused by other side: ConnectionRefusedError
