name,url,filepath,depth
PhilipAHamilton,https://www.hamiltonforvasenate.com/events/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|events|1699145102907349,1
DebraDGardner,https://debragardnerfordelegate.com/vote/,html/House/DebraDGardner/debragardnerfordelegate.com|vote|16991451030094945,1
ChristieNewCraig,https://christienewcraig.com/celebrate-women,html/Senate/ChristieNewCraig/christienewcraig.com|celebrate-women16991451030576217,1
DebraDGardner,https://debragardnerfordelegate.com/priorities,html/House/DebraDGardner/debragardnerfordelegate.com|priorities16991451035341072,1
DonLScottJr,https://leaderdonscott.com/2023/02/18/scotts-e-dition-week-six-roundup/,html/House/DonLScottJr/leaderdonscott.com|2023|02|18|scotts-e-dition-week-six-roundup|16991451035400333,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/volunteer/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|volunteer|16991451035955336,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/cdn-cgi/l/email-protection#2b7b434247425b6b634a4642475f44456d44597d6a784e454a5f4e05484446,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|cdn-cgi|l|email-protection1699145103619772,1
HollyMSeibold,https://www.hollyseibold.com/services-6,html/House/HollyMSeibold/www.hollyseibold.com|services-616991451037033057,1
DebraDGardner,https://debragardnerfordelegate.com/meet-debra,html/House/DebraDGardner/debragardnerfordelegate.com|meet-debra16991451039854019,1
DonLScottJr,https://leaderdonscott.com/2023/02/12/scotts-e-dition-week-five-roundup/,html/House/DonLScottJr/leaderdonscott.com|2023|02|12|scotts-e-dition-week-five-roundup|16991451042753775,1
WChadGreen,https://greenfordelegate.com/about/,html/House/WChadGreen/greenfordelegate.com|about|16991451044177747,1
WChadGreen,https://greenfordelegate.com/issues/,html/House/WChadGreen/greenfordelegate.com|issues|16991451052650435,1
DonLScottJr,https://leaderdonscott.com/2023/02/04/scotts-e-dition-week-four-roundup/,html/House/DonLScottJr/leaderdonscott.com|2023|02|04|scotts-e-dition-week-four-roundup|16991451059789932,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/privacy/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|privacy|16991451060714107,1
HollyMSeibold,https://www.hollyseibold.com/background,html/House/HollyMSeibold/www.hollyseibold.com|background16991451060864167,1
WChadGreen,https://greenfordelegate.com/endorsements/,html/House/WChadGreen/greenfordelegate.com|endorsements|1699145106127685,1
DonLScottJr,https://leaderdonscott.com/2023/01/28/scotts-e-dition-week-three-roundup/,html/House/DonLScottJr/leaderdonscott.com|2023|01|28|scotts-e-dition-week-three-roundup|16991451068690526,1
StellaGPekarsky,https://stellapekarsky.com/stellas-story/,html/Senate/StellaGPekarsky/stellapekarsky.com|stellas-story|1699145107013591,1
WChadGreen,https://greenfordelegate.com/contribute/,html/House/WChadGreen/greenfordelegate.com|contribute|1699145107026197,1
DonLScottJr,https://leaderdonscott.com/2023/01/22/scotts-e-dition-general-assembly-session-2023/,html/House/DonLScottJr/leaderdonscott.com|2023|01|22|scotts-e-dition-general-assembly-session-2023|16991451077787778,1
HollyMSeibold,https://www.hollyseibold.com/experience,html/House/HollyMSeibold/www.hollyseibold.com|experience16991451078598497,1
HollyMSeibold,https://www.hollyseibold.com/issues,html/House/HollyMSeibold/www.hollyseibold.com|issues1699145107887583,1
WChadGreen,https://greenfordelegate.com/author/jordan/,html/House/WChadGreen/greenfordelegate.com|author|jordan|16991451079203975,1
DonLScottJr,https://leaderdonscott.com/privacy-notice/,html/House/DonLScottJr/leaderdonscott.com|privacy-notice|16991451086263573,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/2023/09/02/law-dog-radio-show-8-19/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|2023|09|02|law-dog-radio-show-8-19|16991451086501372,2
DonLScottJr,https://leaderdonscott.com/terms-and-conditions/,html/House/DonLScottJr/leaderdonscott.com|terms-and-conditions|16991451087815824,1
PhilipAHamilton,https://www.hamiltonforvasenate.com/2023/08/18/john-reid-8-18-2023/,html/Senate/PhilipAHamilton/www.hamiltonforvasenate.com|2023|08|18|john-reid-8-18-2023|16991451088064914,2
HollyMSeibold,https://www.hollyseibold.com/volunteer-1,html/House/HollyMSeibold/www.hollyseibold.com|volunteer-116991451088352945,1
ChristieNewCraig,https://christienewcraig.com/tickets-and-sponsorships,html/Senate/ChristieNewCraig/christienewcraig.com|tickets-and-sponsorships1699145108854791,2
HollyMSeibold,https://www.hollyseibold.com/blog,html/House/HollyMSeibold/www.hollyseibold.com|blog16991451092872493,1
WChadGreen,https://greenfordelegate.com/wp-content/uploads/2022/02/64280244_2202035883385884_1320454005431730176_n-1.jpg,html/House/WChadGreen/greenfordelegate.com|wp-content|uploads|2022|02|64280244_2202035883385884_1320454005431730176_n-1.jpg16991451093531814,2
StellaGPekarsky,https://stellapekarsky.com/issues-stella-pekarsky/,html/Senate/StellaGPekarsky/stellapekarsky.com|issues-stella-pekarsky|1699145109442295,1
DonLScottJr,https://leaderdonscott.com/author/don-scott-va-house/,html/House/DonLScottJr/leaderdonscott.com|author|don-scott-va-house|1699145109538093,2
WChadGreen,https://greenfordelegate.com/wp-content/uploads/2022/02/21617630_1833595023563307_5425093464164867715_n.jpg,html/House/WChadGreen/greenfordelegate.com|wp-content|uploads|2022|02|21617630_1833595023563307_5425093464164867715_n.jpg16991451095823534,2
HollyMSeibold,https://www.hollyseibold.com/events,html/House/HollyMSeibold/www.hollyseibold.com|events16991451096324372,1
HollyMSeibold,https://www.hollyseibold.com/general-7,html/House/HollyMSeibold/www.hollyseibold.com|general-71699145110115611,1
DonLScottJr,https://leaderdonscott.com/2023/02/25/,html/House/DonLScottJr/leaderdonscott.com|2023|02|25|16991451102112103,2
WChadGreen,https://greenfordelegate.com/wp-content/uploads/2022/02/252068382_2842198896036243_5836900799503640365_n-1.jpg,html/House/WChadGreen/greenfordelegate.com|wp-content|uploads|2022|02|252068382_2842198896036243_5836900799503640365_n-1.jpg1699145110343652,2
DonLScottJr,https://leaderdonscott.com/category/uncategorized/,html/House/DonLScottJr/leaderdonscott.com|category|uncategorized|16991451108416548,2
WChadGreen,https://greenfordelegate.com/wp-content/uploads/2022/02/11015220_1487210414868438_3032684299214533689_n.jpg,html/House/WChadGreen/greenfordelegate.com|wp-content|uploads|2022|02|11015220_1487210414868438_3032684299214533689_n.jpg1699145110866824,2
HollyMSeibold,https://www.hollyseibold.com/post/newsletter-week-of-6-13,html/House/HollyMSeibold/www.hollyseibold.com|post|newsletter-week-of-6-131699145110918757,2
DonLScottJr,https://leaderdonscott.com/2023/02/18/,html/House/DonLScottJr/leaderdonscott.com|2023|02|18|16991451130166945,2
StellaGPekarsky,https://stellapekarsky.com/get-involved-2/,html/Senate/StellaGPekarsky/stellapekarsky.com|get-involved-2|16991451130529048,1
HollyMSeibold,https://www.hollyseibold.com/post/newsletter-and-community-updates-6-6,html/House/HollyMSeibold/www.hollyseibold.com|post|newsletter-and-community-updates-6-616991451131116445,2
WChadGreen,https://greenfordelegate.com/wp-content/uploads/2022/02/36607580_1967550446834430_2673971004115517440_n.jpg,html/House/WChadGreen/greenfordelegate.com|wp-content|uploads|2022|02|36607580_1967550446834430_2673971004115517440_n.jpg1699145116553975,2
DonLScottJr,https://leaderdonscott.com/2023/02/12/,html/House/DonLScottJr/leaderdonscott.com|2023|02|12|16991451166424024,2
StellaGPekarsky,https://stellapekarsky.com/district-details/,html/Senate/StellaGPekarsky/stellapekarsky.com|district-details|16991451210914829,1
HollyMSeibold,https://www.hollyseibold.com/post/newsletter-week-of-5-30,html/House/HollyMSeibold/www.hollyseibold.com|post|newsletter-week-of-5-3016991451735530896,2
DonLScottJr,https://leaderdonscott.com/2023/02/04/,html/House/DonLScottJr/leaderdonscott.com|2023|02|04|1699145202906994,2
WChadGreen,https://greenfordelegate.com/wp-content/uploads/2022/02/74911474_2291031084486363_3305716592632922112_n.jpg,html/House/WChadGreen/greenfordelegate.com|wp-content|uploads|2022|02|74911474_2291031084486363_3305716592632922112_n.jpg1699145206172705,2
NatanDMcKenzie,https://natanmckenzieforva12.com,html/Senate/NatanDMcKenzie/natanmckenzieforva12.comNatan McKenzie for VA12 – Natan McKenzie for Senate - VA 1216991452062656834,0
StellaGPekarsky,https://stellapekarsky.com/vote/,html/Senate/StellaGPekarsky/stellapekarsky.com|vote|16991452089019332,1
DonLScottJr,https://leaderdonscott.com/2023/01/28/,html/House/DonLScottJr/leaderdonscott.com|2023|01|28|1699145211917088,2
KarenLJenkins,https://karenforvirginia.com,html/House/KarenLJenkins/karenforvirginia.comKaren For Virginia16991452121334465,0
HollyMSeibold,https://www.hollyseibold.com/post/copy-of-newsletter-week-of-5-5,html/House/HollyMSeibold/www.hollyseibold.com|post|copy-of-newsletter-week-of-5-51699145213022394,2
HollyMSeibold,http://hollyseibold.com/,html/House/HollyMSeibold/hollyseibold.com|1699145217233306,3
HollyMSeibold,https://www.hollyseibold.com/blog/page/2,html/House/HollyMSeibold/www.hollyseibold.com|blog|page|216991452172863848,2
DouglassHaydenFisher,https://www.haydenfisherforvirginia.com,html/Senate/DouglassHaydenFisher/www.haydenfisherforvirginia.comHayden Fisher SD-1516991452173185263,0
NatanDMcKenzie,https://natanmckenzieforva12.com/meet-natan/,html/Senate/NatanDMcKenzie/natanmckenzieforva12.com|meet-natan|16991452198163867,1
JeionAWard,https://jeionward.com,html/House/JeionAWard/jeionward.comDelegate Jeion Ward169914521982995,0
DonLScottJr,https://leaderdonscott.com/2023/01/22/,html/House/DonLScottJr/leaderdonscott.com|2023|01|22|16991452219308727,2
