name,url,filepath,depth
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/df06ffd03064a4a/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531179197052.js,0
ChristieNewCraig,https://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.34.4.js,html/Senate/ChristieNewCraig/javascript/UX.4.34.4|16991531187383869.js,0
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/6943691bf8bc5a1/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531205827713.js,0
ChristieNewCraig,https://img1.wsimg.com/traffic-assets/js/tccl.min.js,html/Senate/ChristieNewCraig/javascript/tccl.min|16991531219394796.js,0
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/138d2491f75a995f/script.js,html/Senate/ChristieNewCraig/javascript/script|1699153124062698.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/b241845e1e123a79/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531249980762.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/e547591232499fa7/script.js,html/Senate/ChristieNewCraig/javascript/script|1699153126016259.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/ed419120bc47fbf5/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531262235277.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/940fc5cb95a0a23a/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531281645362.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/8a95f54002f7d98c/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531290834327.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/f5e03dd3a625408a/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531312348092.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/23d8d7fb8b525a25/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531320345488.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/296282b84d41b557/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531347346275.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/21fafd7b9d67bee2/script.js,html/Senate/ChristieNewCraig/javascript/script|1699153135639853.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/e05a84c16f16f5e9/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531372944121.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/9304efb036be3094/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531377116513.js,1
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/a6850699f9b53e9a/script.js,html/Senate/ChristieNewCraig/javascript/script|16991531404470868.js,2
ChristieNewCraig,https://img1.wsimg.com/blobby/go/2d0664f8-88d6-46a3-9a00-35c4c18dc2ad/gpub/f92fcf0056199451/script.js,html/Senate/ChristieNewCraig/javascript/script|1699153140961842.js,2
