keyword, house_count, house_percent, senate_count, senate_percent
email, 75, 96.15, 41, 100.0
ignore, 74, 94.87, 41, 100.0
name, 75, 96.15, 39, 95.12
phone_number, 48, 61.54, 23, 56.1
location_coarse, 43, 55.13, 24, 58.54
location_fine, 32, 41.03, 21, 51.22
misc, 25, 32.05, 13, 31.71
political_opinions, 3, 3.85, 3, 7.32
employer_info, 1, 1.28, 1, 2.44
occupation, 1, 1.28, 0, 0.0
photo_self, 0, 0.0, 1, 2.44
