name,url,filepath,depth
MarkDObenshain,https://www.markobenshain.com/vote/,html/Senate/MarkDObenshain/www.markobenshain.com|vote|16993049554873712,1
JasonAFord,https://fordforva.com/about/,html/Senate/JasonAFord/fordforva.com|about|16993049555294626,1
TravisSNembhard,https://nembhardforvirginia.com/vote/,html/House/TravisSNembhard/nembhardforvirginia.com|vote|16993049555420027,1
JohnTStirrup,https://stirrupfordelegate.com/issues/,html/House/JohnTStirrup/stirrupfordelegate.com|issues|16993049555560875,1
MarkDObenshain,https://www.markobenshain.com/contact/,html/Senate/MarkDObenshain/www.markobenshain.com|contact|1699304955605369,1
AmyJLaufer,https://lauferfordelegate.com/endorsements/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|16993049558346107,1
JohnTStirrup,https://stirrupfordelegate.com/meet-john/,html/House/JohnTStirrup/stirrupfordelegate.com|meet-john|1699304956125775,1
TravisSNembhard,https://nembhardforvirginia.com/endorsements/,html/House/TravisSNembhard/nembhardforvirginia.com|endorsements|169930495613867,1
JasonAFord,https://fordforva.com/issues/,html/Senate/JasonAFord/fordforva.com|issues|16993049561611266,1
AmyJLaufer,https://lauferfordelegate.com/author/andrew-ccompeteeverywhere-com/,html/House/AmyJLaufer/lauferfordelegate.com|author|andrew-ccompeteeverywhere-com|16993049562189326,1
RichardHStuart,https://www.stuartforsenate.com/issues,html/Senate/RichardHStuart/www.stuartforsenate.com|issues16993049565274289,1
MarkDObenshain,https://www.markobenshain.com/privacy/,html/Senate/MarkDObenshain/www.markobenshain.com|privacy|16993049566121278,1
TravisSNembhard,https://nembhardforvirginia.com/get-involved/,html/House/TravisSNembhard/nembhardforvirginia.com|get-involved|16993049566291983,1
JohnTStirrup,https://stirrupfordelegate.com/why-im-running/,html/House/JohnTStirrup/stirrupfordelegate.com|why-im-running|16993049566438432,1
RichardHStuart,https://www.stuartforsenate.com/get-involved,html/Senate/RichardHStuart/www.stuartforsenate.com|get-involved16993049566666436,1
JoshuaGCole,https://www.jgcole.org/about,html/House/JoshuaGCole/www.jgcole.org|about16993049567130775,1
JohnTStirrup,https://stirrupfordelegate.com/why-im-running,html/House/JohnTStirrup/stirrupfordelegate.com|why-im-running16993049567431977,1
MarkDObenshain,https://www.markobenshain.com/terms/,html/Senate/MarkDObenshain/www.markobenshain.com|terms|1699304956745945,1
TravisSNembhard,https://nembhardforvirginia.com/privacy-policy/,html/House/TravisSNembhard/nembhardforvirginia.com|privacy-policy|16993049569226782,1
CECliffHayesJr,https://cliffhayes.com,"html/House/CECliffHayesJr/cliffhayes.comOfficial Website for Delegate C.  E. Cliff Hayes, Jr.16993049570846894",0
JoshuaGCole,https://www.jgcole.org/issues,html/House/JoshuaGCole/www.jgcole.org|issues16993049576055326,1
MarkDObenshain,https://www.markobenshain.com/2023/06/30/supreme-court-rules-in-favor-of-colorado-graphic-designer-who-refused-to-create-same-sex-wedding-websites/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|06|30|supreme-court-rules-in-favor-of-colorado-graphic-designer-who-refused-to-create-same-sex-wedding-websites|16993049576168525,2
JasonAFord,https://fordforva.com/get-involved/,html/Senate/JasonAFord/fordforva.com|get-involved|16993049576927338,1
TravisSNembhard,https://nembhardforvirginia.com/es/,html/House/TravisSNembhard/nembhardforvirginia.com|es|1699304957721826,1
JasonAFord,https://fordforva.com/va-28/,html/Senate/JasonAFord/fordforva.com|va-28|16993049583540788,1
JoshuaGCole,https://www.jgcole.org/track-record,html/House/JoshuaGCole/www.jgcole.org|track-record16993049583810709,1
CECliffHayesJr,https://cliffhayes.com/about/,html/House/CECliffHayesJr/cliffhayes.com|about|1699304958393911,1
MarkDObenshain,https://www.markobenshain.com/2023/06/29/supreme-court-rejects-affirmative-action-in-ruling-on-universities-using-race-in-admissions-decisions/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|06|29|supreme-court-rejects-affirmative-action-in-ruling-on-universities-using-race-in-admissions-decisions|16993049584443269,2
CECliffHayesJr,https://cliffhayes.com/bio/,html/House/CECliffHayesJr/cliffhayes.com|bio|16993049587038777,1
JasonAFord,https://fordforva.com/news/,html/Senate/JasonAFord/fordforva.com|news|16993049587395232,1
JoshuaGCole,https://www.jgcole.org/district,html/House/JoshuaGCole/www.jgcole.org|district16993049590865664,1
JasonAFord,https://fordforva.com/cdn-cgi/l/email-protection#e3c6d1d38a8d858ca3858c9187858c919582cd808c8e,html/Senate/JasonAFord/fordforva.com|cdn-cgi|l|email-protection16993049592022367,1
