keyword, house_count, house_percent, senate_count, senate_percent
email, 76, 97.44, 41, 97.62
ignore, 75, 96.15, 41, 97.62
name, 76, 97.44, 39, 92.86
phone_number, 48, 61.54, 23, 54.76
location_coarse, 43, 55.13, 24, 57.14
location_fine, 32, 41.03, 21, 50.0
misc, 25, 32.05, 13, 30.95
political_opinions, 3, 3.85, 3, 7.14
employer_info, 1, 1.28, 1, 2.38
occupation, 1, 1.28, 0, 0.0
photo_self, 0, 0.0, 1, 2.38
